CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa08g053430,3.543173252,9.666793989,6.586771327,5.396538743,7.280477859,4.849281843,5.152496441,4.013817035,3.13249489,2.057269959,2.221469833,3.188155993
Csa08g053440,12.65529909,11.05055317,8.470293689,8.261421427,8.460560378,7.856310041,6.469770849,2.789393149,3.115637683,3.716790003,2.915481047,5.126989575
Csa08g053450,9.320183798,6.064092921,5.807368097,8.110154197,5.866405704,5.642343177,14.13269162,2.446689105,3.951253491,4.519606292,3.622505576,5.614968014
Csa08g053470,19.7485253,22.88213309,15.47836164,15.33727104,17.07074151,13.67072813,25.06485312,31.29297934,26.94475149,23.71434853,27.30841718,22.10325062
Csa08g053500,0.303004639,1.459044563,1.169519505,1.763599189,2.179255975,2.166304685,0.113897071,2.06309295,2.253619608,5.517961891,3.554709863,4.287718058
Csa08g053680,6.32844758,3.79263242,3.755361099,2.295705899,3.954906411,2.775447517,7.778826602,1.811003915,2.320282443,1.541661427,3.644610138,3.231341979
Csa08g053690,3.69997127,0.813464276,0.766084579,1.065619025,1.020186618,1.219523529,2.048653134,0.372645797,0.635951876,0.833246289,0.702008764,0.745806253
Csa08g053740,4.856800448,5.998657856,3.203867725,4.514541099,4.177764842,8.356187276,2.220805676,1.535038523,2.008298088,0.970562752,1.084720267,1.093345097
Csa08g053750,17.01017581,7.341711717,12.55424163,12.85968424,9.5255838,9.596527794,13.09309755,4.03737737,5.836810871,5.493713711,4.304355712,4.809909665
Csa08g053760,5.060789607,9.641588166,7.852321281,8.286198843,9.661293347,10.31273441,3.321516629,3.946642921,4.775396598,6.167166604,5.970604487,5.175507675
Csa08g053870,2.139491968,1.50606891,3.018988614,1.460714212,2.702269045,2.846247082,1.822275961,1.088958882,1.30942224,1.790886069,1.958533254,2.321989197
Csa08g053960,16.62954584,13.97026739,13.43358454,12.80114339,10.68117348,14.53227374,14.6483699,9.30673733,7.095279516,8.194248902,8.748293862,8.905825072
Csa08g053980,4.068426214,3.221843896,0.974085068,1.796684713,2.063238175,2.137039685,3.927622626,3.166675999,2.790137664,2.74130523,2.469691691,1.77526726
Csa08g054090,0.205382781,1.198996231,1.566144954,2.475319961,4.850393096,5.504893399,0.168828643,0.561414701,0.745151894,0.537086312,0.432792846,1.8268696
Csa08g054120,0.778779615,2.40045106,3.421258061,5.332151613,4.90797273,4.681087892,0.837272679,13.25504581,13.32637039,24.0530496,20.21194869,12.73836476
Csa08g054140,1.617952748,1.421454244,1.393808986,3.677159207,0.882879451,2.403289446,3.829274008,2.370891123,2.311305795,4.479285629,2.541343507,2.834052298
Csa08g054210,4.842095733,1.901006633,1.964534346,0.590232308,0.825270715,0.988245735,34.94125797,12.9172101,14.40680006,12.9845995,13.79360843,10.29924809
Csa08g054230,1.749642335,1.878031882,2.989207666,1.723112356,2.359036475,2.975626982,6.626017051,3.610330672,4.384273546,4.877665896,4.176736174,4.559166981
Csa08g054350,7.901669047,3.712692947,2.802653749,2.480777836,3.093598632,3.994403983,3.31637856,1.765940281,1.747240189,1.704794188,1.236000684,1.128501266
Csa08g054400,2.030491827,3.417508254,2.742369692,2.65547223,2.78765864,3.645889529,2.541927457,2.724274684,3.443547312,2.431424352,2.489296529,2.1093625
Csa08g054410,2.979398093,4.475817599,2.037673348,2.103262211,1.747899368,1.856236202,1.554916816,1.175697121,0.888704113,1.233267169,0.792469001,0.809893541
Csa08g054430,6.697733012,3.262827534,2.960912825,2.454516599,2.384139329,2.212886461,13.5340504,2.115895132,3.000107518,2.114576452,2.297382519,1.679665204
Csa08g054450,43.31192183,27.10676916,21.13236544,9.055202331,4.589100573,2.462091293,42.02100086,18.90452104,11.4069278,3.324845506,1.97165703,0.665857741
Csa08g054530,3.800276851,5.40686715,3.394678335,3.404637272,3.305461638,4.298627418,4.236548422,6.617654435,5.802092785,6.350413642,5.164430514,6.577777277
Csa08g054570,3.655144897,2.025964676,3.069774653,2.337352312,2.23483327,2.753865111,2.336679161,1.155626899,1.317569393,1.735488863,1.393374862,1.808883534
Csa08g054640,7.622612157,3.716089024,3.030496095,5.491087428,5.986124667,5.923371129,4.058883395,2.39436479,2.176792484,3.423085048,4.375192554,5.17849659
Csa08g054670,0.19870021,0.478801738,0.469140866,0.543106254,0.710345424,1.554877823,0.197232332,0.990841399,0.930604368,1.953693251,2.355153033,3.102206034
Csa08g054830,8.436637883,5.388221301,10.59705795,8.032186929,8.865672696,7.422867644,7.083810787,4.829841917,4.605459139,5.78644009,6.050289356,6.658182258
